temperature_set_C,pressure_set_kPa,ratio_set,volume_set_m3,recycle_fraction_set,Tin_C,Tout_C,pressure_actual_kPa,ratio_actual,volume_actual_m3,recycle_fraction_actual,C_efficiency_pct,H_efficiency_pct,co2_conversion_per_pass_pct,energy_efficiency_pct,methanol_kg_h,hydrogen_purge_kg_h,reactor_duty_kJ_h,compressor_duty_kJ_h,expander_duty_kJ_h,h2_lhv_kJ_h,methanol_lhv_kJ_h,converged,write_error,recycle_status,convergence_detail,case,execution_order,solve_time_s,case_time_s,timestamp
230,5000,3.0,65,,230.0,230.0,5000.0,3.0,65.0,0.99,90.71835933946134,91.64405688374154,19.340297989067725,81.7266989738306,18920.909139327243,229.5917659120842,35233038.68131698,18159508.422854625,18688074.341331653,462351162.0,374017434.81228995,True,,RCY-1:Converged(50/300),,methanol_instance2.hsc,7,6.444860599964159,6.655103600001894,2026-07-31 17:39:15
230,5500,3.0,65,,230.0,230.0,5500.0,3.0,65.0,0.99,90.63801584625746,91.56289355897435,19.89484690680522,81.51981550581276,18903.98361228202,232.1162250944956,35314129.806988224,19193112.318693142,18859125.34362753,462351162.0,373694878.65977603,True,,RCY-1:Converged(55/300),,methanol_instance3.hsc,7,6.755625299992971,6.962282499996945,2026-07-31 17:39:17
230,6000,3.0,65,,230.0,230.0,6000.0,3.0,65.0,0.99,90.52872366431559,91.45248615068614,20.31092701626607,81.30899028479286,18881.029218172247,235.42771207878715,35379339.29105366,20196116.2430956,19101797.345088486,462351162.0,373252522.2411225,True,,RCY-1:Converged(59/300),,methanol_instance0.hsc,8,5.748924600018654,5.950061299983645,2026-07-31 17:39:22
230,6500,3.0,65,,230.0,230.0,6500.0,3.0,65.0,0.99,90.40707996814386,91.32960119230859,20.649284416144926,81.10673644472116,18855.481041153173,239.46831013458603,35434791.61344425,21168566.650176335,19408108.408361252,462351162.0,372758963.5661682,True,,RCY-1:Converged(63/300),,methanol_instance1.hsc,8,5.930287299997872,6.138003600004595,2026-07-31 17:39:22
230,7000,3.0,65,,230.0,230.0,7000.0,3.0,65.0,0.99,90.27036303576999,91.1914891891962,20.871203322497596,80.89939429375043,18826.8289827464,243.4387515031525,35483249.261084035,22099243.260103952,19714326.552947696,462351162.0,372203116.95609564,True,,RCY-1:Converged(66/300),,methanol_instance2.hsc,8,6.257717799977399,6.462887000001501,2026-07-31 17:39:22
230,7500,3.0,65,,230.0,230.0,7500.0,3.0,65.0,0.99,90.12724723667726,91.04691302480661,21.03427889357736,80.69651297072214,18796.84301184888,247.58322373369418,35526493.32207686,22995200.406845916,20037397.1507249,462351162.0,371620193.1418436,True,,RCY-1:Converged(68/300),,methanol_instance3.hsc,8,6.211935100029223,6.427540400007274,2026-07-31 17:39:24
230,8000,3.0,65,,230.0,230.0,8000.0,3.0,65.0,0.99,89.98260765901257,90.90079753308412,21.16314598416495,80.50200929124007,18766.540458286945,251.9352478939414,35566097.27381081,23860188.507762842,20378975.128253844,462351162.0,371030931.43256927,True,,RCY-1:Converged(70/300),,methanol_instance0.hsc,9,5.219182999979239,5.482955699990271,2026-07-31 17:39:28
230,8500,3.0,65,,230.0,230.0,8500.0,3.0,65.0,0.99,89.83907687639258,90.75580215064147,21.267968795585475,80.31663466226742,18736.450879925913,256.4442520975748,35603247.3471164,24696341.33432336,20734567.84509359,462351162.0,370445596.0396296,True,,RCY-1:Converged(72/300),,methanol_instance1.hsc,9,5.479613999981666,5.6938890000164974,2026-07-31 17:39:27
230,9000,3.0,65,,230.0,230.0,9000.0,3.0,65.0,0.99,89.68858386403053,90.60377349529614,21.31221027236557,80.12691669499749,18704.96402071644,260.6248975992048,35637679.93772181,25497915.768681563,21066273.675732236,462351162.0,369832150.4652928,True,,RCY-1:Converged(73/300),,methanol_instance2.hsc,9,6.846121200040216,7.053263900015736,2026-07-31 17:39:29
230,9500,3.0,65,,230.0,230.0,9500.0,3.0,65.0,0.99,89.54039414966496,90.45407164098806,21.342100919345434,79.9448458147614,18673.940049369856,264.8548612505436,35670756.17407223,26273852.99163183,21402935.097865757,462351162.0,369227579.74954903,True,,RCY-1:Converged(74/300),,methanol_instance3.hsc,9,6.9507885000202805,7.162884100020165,2026-07-31 17:39:31
230,10000,3.0,65,,230.0,230.0,10000.0,3.0,65.0,0.99,89.39376566913937,90.30594695147751,21.356189497125698,79.76843666019336,18643.2379724535,269.0600390416413,35702656.345447615,27024960.112591524,21738537.158532735,462351162.0,368629144.8389603,True,,RCY-1:Converged(75/300),,methanol_instance0.hsc,10,5.8506047000119,6.061813400010578,2026-07-31 17:39:34
230,10500,3.0,65,,230.0,230.0,10500.0,3.0,65.0,0.99,89.25014530477291,90.16086107318895,21.361630614813855,79.5988597106908,18613.153433572304,273.26700470748597,35733840.59996044,27753597.329340875,22074977.442366336,462351162.0,368042822.3716145,True,,RCY-1:Converged(76/300),,methanol_instance1.hsc,10,5.947010500007309,6.152610199991614,2026-07-31 17:39:33
230,11000,3.0,65,,230.0,230.0,11000.0,3.0,65.0,0.99,89.1087604114426,90.01803347686548,21.358211467605415,79.43496436639923,18583.562344490412,277.44127334458454,35764377.36573815,28460830.54513543,22409409.71925515,462351162.0,367466921.6649872,True,,RCY-1:Converged(77/300),,methanol_instance2.hsc,10,7.171587099990575,7.378463400003966,2026-07-31 17:39:36
240,5000,3.0,65,,240.0,240.0,5000.0,3.0,65.0,0.99,91.88982810921095,92.82747941644779,24.338309818047644,82.26456364687418,19164.660911964795,194.85874682562212,35908469.09462982,17365044.905156616,15760909.013395913,462351162.0,378875535.3404673,True,,RCY-1:Converged(63/300),,methanol_instance3.hsc,10,6.550831699976698,6.763164299976779,2026-07-31 17:39:37
240,5500,3.0,65,,240.0,240.0,5500.0,3.0,65.0,0.99,92.0065134141302,92.94535538774376,26.080948574507385,82.14039118901685,19188.666722811373,191.47999613795744,36072999.028860554,18301651.390998982,15436637.943493862,462351162.0,379373463.2368879,True,,RCY-1:Converged(70/300),,methanol_instance0.hsc,11,6.045922399993287,6.273026799986837,2026-07-31 17:39:40
240,6000,3.0,65,,240.0,240.0,6000.0,3.0,65.0,0.99,92.06620712895612,93.00565822210872,27.488326533364692,81.99567456900851,19200.84274471646,189.39899167919052,36211736.11723166,19218404.831108104,15231424.517131697,462351162.0,379634790.32508767,True,,RCY-1:Converged(74/300),,methanol_instance1.hsc,11,6.243866800010437,6.4638460999995,2026-07-31 17:39:40
240,6500,3.0,65,,240.0,240.0,6500.0,3.0,65.0,0.99,92.09149905284963,93.03120822685828,28.6883658159523,81.84981538829219,19205.825927206588,188.6971109814485,36332367.95234405,20116260.37741705,15145535.58588985,462351162.0,379753158.93867785,True,,RCY-1:Converged(78/300),,methanol_instance2.hsc,11,7.709755699994275,7.923008299985668,2026-07-31 17:39:44
240,7000,3.0,65,,240.0,240.0,7000.0,3.0,65.0,0.99,92.087060667455,93.02672455181677,29.649693470167687,81.69604877431291,19204.68244033513,188.61277093387568,36438736.11594244,20983801.022176065,15116173.96067652,462351162.0,379749393.1732278,True,,RCY-1:Converged(81/300),,methanol_instance3.hsc,11,7.5342460999963805,7.740765599999577,2026-07-31 17:39:45
240,7500,3.0,65,,240.0,240.0,7500.0,3.0,65.0,0.99,92.06310558152762,93.00252502623708,30.45640662367643,81.54220977370721,19199.4513287474,189.19934032983033,36534268.2333738,21824702.77455522,15144686.403049545,462351162.0,379663012.9250792,True,,RCY-1:Converged(83/300),,methanol_instance0.hsc,12,6.436509599967394,6.656620099995052,2026-07-31 17:39:47
240,8000,3.0,65,,240.0,240.0,8000.0,3.0,65.0,0.99,92.02127767195,92.96027030125559,31.102305984935935,81.38400243866353,19190.48005290692,190.09903905123343,36620837.60770446,22635902.967912123,15201880.161696551,462351162.0,379500004.61899173,True,,RCY-1:Converged(84/300),,methanol_instance1.hsc,12,6.393508700013626,6.599464300001273,2026-07-31 17:39:46
240,8500,3.0,65,,240.0,240.0,8500.0,3.0,65.0,0.99,91.96870516213434,92.90716133725815,31.642505464026556,81.22891407476664,19179.348355716676,191.38612957971452,36700792.03748417,23421650.072720952,15292436.341870556,462351162.0,379295543.7752575,True,,RCY-1:Converged(85/300),,methanol_instance2.hsc,12,7.84567710000556,8.048225799982902,2026-07-31 17:39:52
240,9000,3.0,65,,240.0,240.0,9000.0,3.0,65.0,0.99,91.90955089502675,92.84740345518007,32.09644289302756,81.07765748132023,19166.80613098417,192.97418870247682,36775491.81523737,24183131.828500003,15408956.406006372,462351162.0,379061651.873425,True,,RCY-1:Converged(86/300),,methanol_instance3.hsc,12,7.923007699981099,8.161916400014888,2026-07-31 17:39:53
240,9500,3.0,65,,240.0,240.0,9500.0,3.0,65.0,0.99,91.83835407079273,92.7754801327396,32.440121863981396,80.9212393711258,19151.78697768478,194.55166550834062,36844755.601396866,24917365.06935069,15526528.074390292,462351162.0,378777203.0955579,True,,RCY-1:Converged(86/300),,methanol_instance0.hsc,13,6.521970000030706,6.741792999993777,2026-07-31 17:39:53
240,10000,3.0,65,,240.0,240.0,10000.0,3.0,65.0,0.99,91.77001772803766,92.70644648036456,32.760224156206895,80.77713995097172,19137.315091337437,196.52539469607964,36911475.87490305,25633584.34602068,15676507.01296619,462351162.0,378503614.4823532,True,,RCY-1:Converged(87/300),,methanol_instance1.hsc,13,6.5722291999845766,6.779249899991555,2026-07-31 17:39:53
